date,close
2020-09-24,2.444
2020-09-25,2.415
2020-09-28,2.512
2020-09-29,2.571
2020-09-30,2.604
2020-10-09,2.684
2020-10-12,2.719
2020-10-13,2.728
2020-10-14,2.71
2020-10-15,2.62
2020-10-16,2.629
2020-10-19,2.667
2020-10-20,2.622
2020-10-21,2.607
2020-10-22,2.53
2020-10-23,2.515
2020-10-26,2.488
2020-10-27,2.512
2020-10-28,2.484
2020-10-29,2.457
2020-10-30,2.397
2020-11-02,2.405
2020-11-03,2.457
2020-11-04,2.566
2020-11-05,2.558
2020-11-06,2.547
2020-11-09,2.603
2020-11-10,2.489
2020-11-11,2.449
2020-11-12,2.453
2020-11-13,2.462
2020-11-16,2.479
2020-11-17,2.464
2020-11-18,2.439
2020-11-19,2.44
2020-11-20,2.464
2020-11-23,2.446
2020-11-24,2.453
2020-11-25,2.482
2020-11-26,2.491
2020-11-27,2.489
2020-11-30,2.489
2020-12-01,2.521
2020-12-02,2.529
2020-12-03,2.54
2020-12-04,2.534
2020-12-07,2.532
2020-12-08,2.543
2020-12-09,2.563
2020-12-10,2.498
2020-12-11,2.503
2020-12-14,2.509
2020-12-15,2.525
2020-12-16,2.558
2020-12-17,2.565
2020-12-18,2.573
2020-12-21,2.576
2020-12-22,2.552
2020-12-23,2.559
2020-12-24,2.55
2020-12-25,2.555
2020-12-28,2.574
2020-12-29,2.599
2020-12-30,2.599
2020-12-31,2.599
2021-01-04,2.579
2021-01-05,2.541
2021-01-06,2.529
2021-01-07,2.534
2021-01-08,2.589
2021-01-11,2.598
2021-01-12,2.584
2021-01-13,2.573
2021-01-14,2.587
2021-01-15,2.566
2021-01-18,2.557
2021-01-19,2.584
2021-01-20,2.605
2021-01-21,2.671
2021-01-22,2.673
2021-01-25,2.7
2021-01-26,2.683
2021-01-27,2.72
2021-01-28,2.618
2021-01-29,2.617
2021-02-01,2.607
2021-02-02,2.674
2021-02-03,2.71
2021-02-04,2.686
2021-02-05,2.725
2021-02-08,2.738
2021-02-09,2.737
2021-02-10,2.749
2021-02-18,2.731
2021-02-19,2.728
2021-02-22,2.7
2021-02-23,2.664
2021-02-24,2.612
2021-02-25,2.665
2021-02-26,2.549
2021-03-01,2.602
2021-03-02,2.638
2021-03-03,2.63
2021-03-04,2.535
2021-03-05,2.505
2021-03-08,2.508
2021-03-09,2.497
2021-03-10,2.555
2021-03-11,2.584
2021-03-12,2.602
2021-03-15,2.589
2021-03-16,2.643
2021-03-17,2.64
2021-03-18,2.657
2021-03-19,2.575
2021-03-22,2.596
2021-03-23,2.614
2021-03-24,2.626
2021-03-25,2.591
2021-03-26,2.607
2021-03-29,2.606
2021-03-30,2.612
2021-03-31,2.604
2021-04-01,2.666
2021-04-02,2.697
2021-04-06,2.739
2021-04-07,2.74
2021-04-08,2.774
2021-04-09,2.777
2021-04-12,2.804
2021-04-13,2.795
2021-04-14,2.838
2021-04-15,2.809
2021-04-16,2.828
2021-04-19,2.838
2021-04-20,2.799
2021-04-21,2.78
2021-04-22,2.804
2021-04-23,2.772
2021-04-26,2.795
2021-04-27,2.821
2021-04-28,2.81
2021-04-29,2.828
2021-04-30,2.802
2021-05-06,2.731
2021-05-07,2.726
2021-05-10,2.745
2021-05-11,2.666
2021-05-12,2.665
2021-05-13,2.623
2021-05-14,2.654
2021-05-17,2.678
2021-05-18,2.689
2021-05-19,2.637
2021-05-20,2.644
2021-05-21,2.692
2021-05-24,2.686
2021-05-25,2.721
2021-05-26,2.721
2021-05-27,2.706
2021-05-28,2.701
2021-05-31,2.695
2021-06-01,2.699
2021-06-02,2.687
2021-06-03,2.695
2021-06-04,2.675
2021-06-07,2.709
2021-06-08,2.724
2021-06-09,2.725
2021-06-10,2.714
2021-06-11,2.747
2021-06-15,2.794
2021-06-16,2.769
2021-06-17,2.759
2021-06-18,2.821
2021-06-21,2.801
2021-06-22,2.819
2021-06-23,2.864
2021-06-24,2.859
2021-06-25,2.866
2021-06-28,2.876
2021-06-29,2.899
2021-06-30,2.92
2021-07-01,2.91
2021-07-02,2.911
2021-07-05,2.942
2021-07-06,2.945
2021-07-07,2.97
2021-07-08,2.968
2021-07-09,2.965
2021-07-12,2.995
