date,close
2020-11-06,1.19
2020-11-09,1.236
2020-11-10,1.216
2020-11-11,1.19
2020-11-12,1.184
2020-11-13,1.172
2020-11-16,1.179
2020-11-17,1.181
2020-11-18,1.187
2020-11-19,1.188
2020-11-20,1.189
2020-11-23,1.212
2020-11-24,1.202
2020-11-25,1.183
2020-11-26,1.188
2020-11-27,1.214
2020-11-30,1.222
2020-12-01,1.268
2020-12-02,1.265
2020-12-03,1.267
2020-12-04,1.248
2020-12-07,1.223
2020-12-08,1.226
2020-12-09,1.187
2020-12-10,1.181
2020-12-11,1.167
2020-12-14,1.166
2020-12-15,1.169
2020-12-16,1.156
2020-12-17,1.187
2020-12-18,1.173
2020-12-21,1.185
2020-12-22,1.135
2020-12-23,1.144
2020-12-24,1.133
2020-12-25,1.147
2020-12-28,1.141
2020-12-29,1.147
2020-12-30,1.169
2020-12-31,1.222
2021-01-04,1.232
2021-01-05,1.229
2021-01-06,1.229
2021-01-07,1.241
2021-01-08,1.231
2021-01-11,1.202
2021-01-12,1.286
2021-01-13,1.253
2021-01-14,1.222
2021-01-15,1.221
2021-01-18,1.233
2021-01-19,1.231
2021-01-20,1.231
2021-01-21,1.251
2021-01-22,1.224
2021-01-25,1.215
2021-01-26,1.171
2021-01-27,1.174
2021-01-28,1.168
2021-01-29,1.156
2021-02-01,1.151
2021-02-02,1.153
2021-02-03,1.137
2021-02-04,1.109
2021-02-05,1.101
2021-02-08,1.102
2021-02-09,1.134
2021-02-10,1.133
2021-02-18,1.139
2021-02-19,1.162
2021-02-22,1.127
2021-02-23,1.123
2021-02-24,1.115
2021-02-25,1.116
2021-02-26,1.098
2021-03-01,1.09
2021-03-02,1.077
2021-03-03,1.097
2021-03-04,1.071
2021-03-05,1.093
2021-03-08,1.073
2021-03-09,1.045
2021-03-10,1.039
2021-03-11,1.056
2021-03-12,1.056
2021-03-15,1.032
2021-03-16,1.037
2021-03-17,1.039
2021-03-18,1.041
2021-03-19,1.03
2021-03-22,1.049
2021-03-23,1.054
2021-03-24,1.06
2021-03-25,1.051
2021-03-26,1.057
2021-03-29,1.056
2021-03-30,1.052
2021-03-31,1.037
2021-04-01,1.045
2021-04-02,1.048
2021-04-06,1.046
2021-04-07,1.043
2021-04-08,1.048
2021-04-09,1.036
2021-04-12,1.015
2021-04-13,1.013
2021-04-14,1.025
2021-04-15,1.015
2021-04-16,1.022
2021-04-19,1.049
2021-04-20,1.039
2021-04-21,1.037
2021-04-22,1.04
2021-04-23,1.038
2021-04-26,1.02
2021-04-27,1.014
2021-04-28,1.017
2021-04-29,1.042
2021-04-30,1.031
2021-05-06,1.022
2021-05-07,1.007
2021-05-10,0.998
2021-05-11,1.013
2021-05-12,1.01
2021-05-13,1.006
2021-05-14,1.081
2021-05-17,1.066
2021-05-18,1.065
2021-05-19,1.064
2021-05-20,1.079
2021-05-21,1.06
2021-05-24,1.08
2021-05-25,1.127
2021-05-26,1.124
2021-05-27,1.125
2021-05-28,1.142
2021-05-31,1.144
2021-06-01,1.129
2021-06-02,1.105
2021-06-03,1.105
2021-06-04,1.111
2021-06-07,1.12
2021-06-08,1.122
2021-06-09,1.109
2021-06-10,1.113
2021-06-11,1.093
2021-06-15,1.078
2021-06-16,1.07
2021-06-17,1.074
2021-06-18,1.085
2021-06-21,1.084
2021-06-22,1.08
2021-06-23,1.085
2021-06-24,1.089
2021-06-25,1.123
2021-06-28,1.112
2021-06-29,1.097
2021-06-30,1.109
2021-07-01,1.077
2021-07-02,1.046
2021-07-05,1.048
2021-07-06,1.054
2021-07-07,1.057
2021-07-08,1.055
2021-07-09,1.06
2021-07-12,1.083
2021-07-13,1.077
2021-07-14,1.064
2021-07-15,1.08
2021-07-16,1.08
2021-07-19,1.076
2021-07-20,1.071
2021-07-21,1.088
2021-07-22,1.106
2021-07-23,1.111
2021-07-26,1.08
2021-07-27,1.049
2021-07-28,1.037
2021-07-29,1.051
2021-07-30,1.028
2021-08-02,1.069
2021-08-03,1.07
2021-08-04,1.072
2021-08-05,1.053
2021-08-06,1.057
2021-08-09,1.08
2021-08-10,1.096
2021-08-11,1.086
2021-08-12,1.079
2021-08-13,1.079
2021-08-16,1.089
2021-08-17,1.082
2021-08-18,1.157
2021-08-19,1.133
2021-08-20,1.135
2021-08-23,1.139
2021-08-24,1.161
2021-08-25,1.143
2021-08-26,1.129
2021-08-27,1.125
2021-08-30,1.105
2021-08-31,1.13
2021-09-01,1.17
2021-09-02,1.191
2021-09-03,1.178
2021-09-06,1.215
2021-09-07,1.244
2021-09-08,1.243
2021-09-09,1.233
2021-09-10,1.249
2021-09-13,1.253
2021-09-14,1.215
2021-09-15,1.211
2021-09-16,1.186
2021-09-17,1.2
2021-09-22,1.191
2021-09-23,1.206
2021-09-24,1.189
2021-09-27,1.157
2021-09-28,1.175
2021-09-29,1.159
2021-09-30,1.157
2021-10-08,1.169
2021-10-11,1.162
2021-10-12,1.125
2021-10-13,1.131
2021-10-14,1.128
2021-10-15,1.129
2021-10-18,1.13
2021-10-19,1.136
2021-10-20,1.132
2021-10-21,1.135
2021-10-22,1.137
2021-10-25,1.152
2021-10-26,1.14
2021-10-27,1.11
2021-10-28,1.102
2021-10-29,1.11
2021-11-01,1.114
2021-11-02,1.091
2021-11-03,1.095
2021-11-04,1.096
2021-11-05,1.093
2021-11-08,1.104
2021-11-09,1.111
2021-11-10,1.109
2021-11-11,1.141
2021-11-12,1.135
2021-11-15,1.131
2021-11-16,1.115
2021-11-17,1.114
2021-11-18,1.102
2021-11-19,1.124
2021-11-22,1.13
2021-11-23,1.133
2021-11-24,1.131
2021-11-25,1.125
2021-11-26,1.117
2021-11-29,1.107
2021-11-30,1.108
2021-12-01,1.123
2021-12-02,1.131
2021-12-03,1.137
2021-12-06,1.153
2021-12-07,1.158
2021-12-08,1.174
2021-12-09,1.193
2021-12-10,1.178
2021-12-13,1.185
2021-12-14,1.178
2021-12-15,1.185
2021-12-16,1.193
2021-12-17,1.181
2021-12-20,1.161
2021-12-21,1.177
2021-12-22,1.167
2021-12-23,1.165
2021-12-24,1.158
2021-12-27,1.16
2021-12-28,1.169
2021-12-29,1.155
2021-12-30,1.174
2021-12-31,1.176
2022-05-18,0.868
2022-05-19,0.867
2022-05-20,0.884
2022-05-23,0.885
2022-05-24,0.861
2022-05-25,0.864
2022-05-26,0.878
2022-05-27,0.877
2022-05-30,0.873
2022-05-31,0.884
2022-06-01,0.88
2022-06-02,0.886
2022-06-06,0.906
2022-06-07,0.908
2022-06-08,0.922
2022-06-09,0.922
2022-06-10,0.945
2022-06-13,0.932
2022-06-14,0.985
2022-06-15,1.015
2022-06-16,0.969
2022-06-17,0.966
2022-06-20,0.96
2022-06-21,0.959
2022-06-22,0.943
